M100,112,114,99,103,216,220,173,177,135,141,95,109,150,154,146,152,160,164,-1,-1,-1,-1
M101,118,118,103,111,218,220,-1,-1,141,143,95,111,158,158,146,146,160,162,-1,-1,-1,-1
M102,114,114,99,109,216,220,-1,-1,141,141,107,109,150,158,150,152,160,162,194,196,230,230
M103,114,114,99,109,216,220,-1,-1,141,141,-1,-1,-1,-1,150,150,-1,-1,-1,-1,-1,-1
M104,118,125,103,107,218,222,-1,-1,1345,141,93,109,150,152,-1,-1,162,162,-1,-1,-1,-1
M105,112,114,103,111,216,218,173,177,141,141,95,107,158,158,148,150,162,164,192,198,221,230
M106,112,114,103,109,212,218,173,177,141,141,93,95,158,160,146,150,162,164,194,198,230,230
M107,114,118,103,111,218,218,173,177,141,141,107,111,154,158,148,150,160,164,196,198,230,230
M108,112,114,99,103,218,220,173,173,141,143,95,109,158,160,148,152,160,160,192,194,221,230
M109,112,114,103,109,216,220,167,173,135,141,95,95,154,158,146,146,160,162,192,198,230,230
M110,112,114,103,109,212,218,173,177,141,143,93,95,150,150,146,152,160,164,192,194,221,230
M111,112,114,99,103,216,218,173,177,141,141,95,109,158,158,146,150,162,164,192,196,230,230
M112,114,118,103,111,216,218,173,173,135,141,95,107,158,158,148,152,162,162,196,198,230,230
M113,118,118,103,111,218,218,-1,-1,141,143,93,111,158,158,146,148,160,162,192,192,230,233
M114,106,114,105,111,216,216,169,173,141,141,95,107,150,158,148,150,162,164,196,196,221,230
M115,114,114,99,111,218,220,177,177,141,143,109,109,150,158,152,152,164,164,192,194,221,230
M116,106,118,103,105,216,218,173,183,135,141,95,109,158,158,148,150,160,164,192,198,230,230
M117,112,114,103,109,218,218,169,173,135,143,95,95,150,158,148,148,160,164,198,198,230,230
M118,112,114,103,111,218,220,173,177,135,141,109,111,154,158,146,150,162,164,196,198,230,230
M119,112,118,103,111,218,220,173,177,141,143,95,95,158,158,146,146,162,162,192,198,230,230
M120,114,118,111,111,216,220,173,177,141,141,95,109,154,158,146,152,162,162,192,192,221,233
M121,114,118,99,103,218,220,173,177,135,141,95,107,158,158,146,152,162,164,192,192,221,230
M122,114,114,99,109,218,220,177,177,141,141,109,109,154,160,150,152,160,162,194,196,230,230
M123,106,118,103,109,218,220,169,173,135,143,95,95,150,158,148,150,160,164,196,198,230,230
M124,112,114,99,103,216,218,173,173,135,141,95,109,150,154,146,150,162,164,192,192,230,230
M125,114,118,103,111,218,218,173,173,135,141,109,111,150,158,146,152,162,162,192,198,221,230
M126,112,118,103,111,218,218,173,177,135,143,93,95,158,158,148,152,160,162,192,198,230,230
S135,114,118,99,103,218,220,173,173,141,141,107,109,150,158,150,152,160,162,192,194,230,230
S136,112,114,109,111,218,220,-1,-1,141,141,95,95,158,158,146,148,162,164,198,198,230,230
S137,118,118,99,103,218,218,-1,-1,141,141,95,111,150,158,148,152,162,162,192,198,230,233
S138,114,118,103,111,216,220,173,173,141,141,95,111,158,158,146,152,162,162,192,192,221,230
